##############################
# Data for GDDR6_6
# CMD  ADDRESS      DATA
w      081200040d0    00060e1a
w      081210040d0    00060e1a
w      0812003c01c    00000037
w      0812103c01c    00000037
w      08120010004    00000004
w      08121010004    00000004
w      08120013800    00000001
w      08121013800    00000001
w      08120013808    0000c350
w      08121013808    0000c350
w      08120002944    00000000
w      08121002944    00000000
w      08120002974    00000000
w      08121002974    00000000
w      08120004184    00000000
w      08121004184    00000000
w      08120004264    00000000
w      08121004264    00000000
w      0812000425c    00000000
w      0812100425c    00000000
w      08120003cc4    00000000
w      08121003cc4    00000000
w      08120005008    00000001
w      08121005008    00000001
w      08120005008    00000000
w      08121005008    00000000
w      08120004034    00000000
w      08121004034    00000000
w      081200041a0    00000000
w      081210041a0    00000000
w      0812000407c    00000000
w      0812100407c    00000000
w      08120004198    00000000
w      08121004198    00000000
w      08122030064    0000a000
w      0812003c02c    00000000
w      0812103c02c    00000000
w      081200040d8    0000000f
w      081210040d8    0000000f
w      081200040d4    00000007
w      081210040d4    00000007
w      08120004054    00000050
w      08121004054    00000050
w      08121003ddc    00000020
w      08120003ddc    00000020
w      08121003de0    00000018
w      08120003de0    00000018
w      08120003c7c    00000004
w      08121003c7c    00000004
w      08120003c78    00000004
w      08121003c78    00000004
w      08120004058    00000013
w      08121004058    00000013
w      08120003dbc    00000014
w      08121003dbc    00000014
w      08120004060    00000002
w      08121004060    00000002
w      08120004050    0000001e
w      08121004050    0000001e
w      08120003c68    00000002
w      08121003c68    00000002
w      08120003c64    00000002
w      08121003c64    00000002
w      081200029a8    00000000
w      081210029a8    00000000
w      0812000292c    00000000
w      0812100292c    00000000
w      08120003c84    0000000b
w      08121003c84    0000000b
w      08120003c80    0000000a
w      08121003c80    0000000a
w      08120004088    00000005
w      08121004088    00000005
w      08120004310    00000004
w      08121004310    00000004
w      08120004314    00000004
w      08121004314    00000004
w      0812000405c    00000140
w      0812100405c    00000140
w      08120003dc0    00000064
w      08121003dc0    00000064
w      0812000418c    00000140
w      0812100418c    00000140
w      081200040cc    00000eb8
w      081210040cc    00000eb8
w      08120002910    001e467f
w      08121002910    001e467f
w      08120004074    0000000a
w      08121004074    0000000a
w      081200040ac    0000000a
w      081210040ac    0000000a
w      08120004188    00000012
w      08121004188    00000012
w      081200029b4    00000000
w      081210029b4    00000000
w      08120004094    0000000a
w      08121004094    0000000a
