##############################
# Data for GDDR6_0
# CMD  ADDRESS      DATA
w      080000040d0    00060e1a
w      080010040d0    00060e1a
w      0800003c01c    00000037
w      0800103c01c    00000037
w      08000010004    00000004
w      08001010004    00000004
w      08000013800    00000001
w      08001013800    00000001
w      08000013808    0000c350
w      08001013808    0000c350
w      08000002944    00000000
w      08001002944    00000000
w      08000002974    00000000
w      08001002974    00000000
w      08000004184    00000000
w      08001004184    00000000
w      08000004264    00000000
w      08001004264    00000000
w      0800000425c    00000000
w      0800100425c    00000000
w      08000003cc4    00000000
w      08001003cc4    00000000
w      08000005008    00000001
w      08001005008    00000001
w      08000005008    00000000
w      08001005008    00000000
w      08000004034    00000000
w      08001004034    00000000
w      080000041a0    00000000
w      080010041a0    00000000
w      0800000407c    00000000
w      0800100407c    00000000
w      08000004198    00000000
w      08001004198    00000000
w      08002030064    0000a000
w      0800003c02c    00000000
w      0800103c02c    00000000
w      080000040d8    0000000f
w      080010040d8    0000000f
w      080000040d4    00000007
w      080010040d4    00000007
w      08000004054    00000050
w      08001004054    00000050
w      08001003ddc    00000020
w      08000003ddc    00000020
w      08001003de0    00000018
w      08000003de0    00000018
w      08000003c7c    00000004
w      08001003c7c    00000004
w      08000003c78    00000004
w      08001003c78    00000004
w      08000004058    00000013
w      08001004058    00000013
w      08000003dbc    00000014
w      08001003dbc    00000014
w      08000004060    00000002
w      08001004060    00000002
w      08000004050    0000001e
w      08001004050    0000001e
w      08000003c68    00000002
w      08001003c68    00000002
w      08000003c64    00000002
w      08001003c64    00000002
w      080000029a8    00000000
w      080010029a8    00000000
w      0800000292c    00000000
w      0800100292c    00000000
w      08000003c84    0000000b
w      08001003c84    0000000b
w      08000003c80    0000000a
w      08001003c80    0000000a
w      08000004088    00000005
w      08001004088    00000005
w      08000004310    00000004
w      08001004310    00000004
w      08000004314    00000004
w      08001004314    00000004
w      0800000405c    00000140
w      0800100405c    00000140
w      08000003dc0    00000064
w      08001003dc0    00000064
w      0800000418c    00000140
w      0800100418c    00000140
w      080000040cc    00000eb8
w      080010040cc    00000eb8
w      08000002910    001e467f
w      08001002910    001e467f
w      08000004074    0000000a
w      08001004074    0000000a
w      080000040ac    0000000a
w      080010040ac    0000000a
w      08000004188    00000012
w      08001004188    00000012
w      080000029b4    00000000
w      080010029b4    00000000
w      08000004094    0000000a
w      08001004094    0000000a
w      0800000421c    00000012
w      0800100421c    00000012
w      080000029ac    00000000
w      080010029ac    00000000
w      080000042c0    00000001
w      080010042c0    00000001
w      0800001000c    00000001
w      0800101000c    00000001
w      080000029e4    00000000
w      080010029e4    00000000
w      080000029dc    00000000
w      080010029dc    00000000
w      08000010050    00000000
w      08001010050    00000000
w      080000041c4    00000000
w      080010041c4    00000000
w      08000004010    00000001
w      08001004010    00000001
w      08000004000    00000000
w      08001004000    00000000
w      08000010040    00000000
w      08001010040    00000000
w      0800003c014    00000000
w      0800103c014    00000000
w      08000002944    000fffff
w      08001002944    000fffff
w      080000041c8    00004000
w      080010041c8    00004000
w      080000040dc    00000004
w      080010040dc    00000004
w      08000004224    00000007
w      08001004224    00000007
w      08000004228    00000018
w      08001004228    00000018
w      08000004064    00000020
w      08001004064    00000020
w      080000040b4    00000001
w      080010040b4    00000001
w      0800000287c    00000003
w      0800100287c    00000003
w      080000028cc    00000002
w      080010028cc    00000002
w      08000002864    00000000
w      08001002864    00000000
w      080000040c8    00000000
w      080010040c8    00000000
w      08000003c40    00000001
w      08001003c40    00000001
w      08000003c44    00000001
w      08001003c44    00000001
w      08000002858    00000000
w      08001002858    00000000
w      080000028d0    00000000
w      080010028d0    00000000
w      080000028bc    00000006
w      080010028bc    00000006
w      080000028c0    00000003
w      080010028c0    00000003
w      080000028e0    00000000
w      080010028e0    00000000
w      0800000289c    00000001
w      0800100289c    00000001
w      0800000293c    00000000
w      0800100293c    00000000
w      08000002898    00000001
w      08001002898    00000001
w      08000002880    00000006
w      08001002880    00000006
w      08000002850    00000000
w      08001002850    00000000
w      08000002930    00000020
w      08001002930    00000020
w      08000002890    00000000
w      08001002890    00000000
w      08000002878    0000000e
w      08001002878    0000000e
w      08000002874    00000003
w      08001002874    00000003
w      080000028d4    00000000
w      080010028d4    00000000
w      0800000290c    00000000
w      0800100290c    00000000
w      08000002894    00000000
w      08001002894    00000000
w      080000028b0    00000000
w      080010028b0    00000000
w      080000028b4    00000000
w      080010028b4    00000000
w      080000028b8    00000000
w      080010028b8    00000000
w      080000028c4    00000000
w      080010028c4    00000000
w      08000004044    00000032
w      08001004044    00000032
w      080000028f0    00000036
w      080010028f0    00000036
w      080000028e4    00000000
w      080010028e4    00000000
w      08000002904    00000000
w      08001002904    00000000
w      080000028c8    00000000
w      080010028c8    00000000
w      080000028ac    00000000
w      080010028ac    00000000
w      08000002908    00000000
w      08001002908    00000000
w      08000002888    00000000
w      08001002888    00000000
w      080000028a4    00000000
w      080010028a4    00000000
w      080000028a8    00000000
w      080010028a8    00000000
w      080000028e8    00000000
w      080010028e8    00000000
w      08000002854    00000000
w      08001002854    00000000
w      0800000288c    00000000
w      0800100288c    00000000
w      08000002868    00000001
w      08001002868    00000001
w      08000002870    00000000
w      08001002870    00000000
w      08000002884    0000000b
w      08001002884    0000000b
w      080000028f8    00000002
w      080010028f8    00000002
w      080000028fc    00000002
w      080010028fc    00000002
w      080000028f4    00000001
w      080010028f4    00000001
w      08000002900    00000001
w      08001002900    00000001
w      080000028a0    00000000
w      080010028a0    00000000
w      08002030000    00008187
w      08002030004    0000576e
w      08002030008    000037ad
w      0800203000c    00001152
w      08002030010    000067e8
